State,County,Subdivision,Jurisdiction Type,FIPS,Website
Nevada,Black_Rock_Desert-High_Rock_Canyon_NCA_RMP,Black_Rock_Desert-High_Rock_Canyon_NCA_Approved_RM,RMP_Resource_Management_Plan,71144567,
Nevada,Black_Rock_Desert-High_Rock_Canyon_NCA_RMP,Black_Rock_Desert-High_Rock_Canyon_NCA_Proposed_RM,RMP_Resource_Management_Plan,80726359,
Nevada,Black_Rock_Desert-High_Rock_Canyon_NCA_RMP,Federal_Register_Notices,RMP_Resource_Management_Plan,28615947,
Nevada,Carson_City_District_RMP_Revision_proposed,CCD_Draft_Resource_Management_Plan_and_Environment,RMP_Resource_Management_Plan,56793703,
Nevada,Carson_City_District_RMP_Revision_proposed,Miscellaneous_Documents,RMP_Resource_Management_Plan,24074905,
Nevada,Carson_City_District_RMP_Revision_proposed,Reports,RMP_Resource_Management_Plan,36319059,
Nevada,Carson_City_Field_Office_Consolidated_RMP,1._Carson_City_Consolidated_Resource_Management_Pl,RMP_Resource_Management_Plan,22634005,
Nevada,Carson_City_Field_Office_Consolidated_RMP,2._Amendment_to_Carson_City_RMP_BLM_and_Navy_RMP_f,RMP_Amendment,41784075,
Nevada,Carson_City_Field_Office_Consolidated_RMP,3._Amendment_to_Carson_City_RMP_Southern_Washoe_Co,RMP_Amendment,04924246,
Nevada,Carson_City_Field_Office_Consolidated_RMP,4._Amendment_to_Carson_City_RMP_North_Douglas_Coun,RMP_Amendment,31591264,
Nevada,Carson_City_Field_Office_Consolidated_RMP,5._Amendment_to_Carson_City_RMP_Alpine_County_Reso,RMP_Amendment,55520161,
Nevada,Carson_City_Field_Office_Consolidated_RMP,6._Amendment_to_Carson_City_RMP_Denton-Rawhide_Min,RMP_Amendment,75931628,
Nevada,Carson_City_Field_Office_Consolidated_RMP,7._Carson_City_District_Fire_Management_Plan_(2016,RMP_Fire_Management_Plan,44768680,
Nevada,Carson_City_Field_Office_Consolidated_RMP,8._Carson_City_District_Visual_Resource_Inventory,RMP_Visual_Resource_Inventory,18158427,
Nevada,Ely_RMP,01._Ely_Record_of_Decision_and_Approved_Resource_M,RMP_Resource_Management_Plan,97919349,
Nevada,Ely_RMP,02._Ely_Proposed_Resource_Management_Plan_and_Fina,RMP_Resource_Management_Plan,35488476,
Nevada,Ely_RMP,03._Ely_Draft_Resource_Management_Plan_and_Prelimi,RMP_Resource_Management_Plan,86276550,
Nevada,Ely_RMP,04._Amendment_to_Ely_RMP_Spring_Valley_Wind_Energy,RMP_Amendment,29067743,
Nevada,Ely_RMP,05._Amendment_to_Ely_RMP_ARMPA_ROD_for_Solar_Energ,RMP_Amendment,30618001,
Nevada,Ely_RMP,06._Ely_District_Fire_Management_Plan_(2016),RMP_Fire_Management_Plan,00071468,
Nevada,Ely_RMP,07._2011_Ely_District_Visual_Resource_Inventory_Re,RMP_Visual_Resource_Inventory,38119432,
Nevada,Las_Vegas_RMP,Amendment_to_Las_Vegas_RMP_--_Las_Vegas_Valley_Dis,RMP_Amendment,15750920,
Nevada,Las_Vegas_RMP,Amendment_to_Las_Vegas_RMP_--_Route_Designations_f,RMP_Amendment,89470944,
Nevada,Las_Vegas_RMP,Amendment_to_the_RMP_-_Silver_State_Solar_South_Pr,RMP_Amendment,75224688,
Nevada,Las_Vegas_RMP,Las_Vegas_Resource_Management_Plan_(1998),RMP_Resource_Management_Plan,48235329,
Nevada,Las_Vegas_RMP,Las_Vegas_Resource_Management_Plan_Maintenance_#1,RMP_Resource_Management_Plan,67391508,
Nevada,Las_Vegas_RMP,Las_Vegas_Resource_Management_Plan_Maintenance_#2,RMP_Resource_Management_Plan,32734564,
Nevada,Las_Vegas_RMP,Southern_Nevada_District_Visual_Resource_Inventory,RMP_Visual_Resource_Inventory,53724850,
Nevada,Las_Vegas_RMP,Updates_to_the_1998_Las_Vegas_RMP_EIS_-_(incomplet,RMP_Resource_Management_Plan,79026519,
Nevada,Nevada_Test_and_Training_Range_RMP,Draft_Nevada_Test_and_Training_Range_Resource_Mana,RMP_Resource_Management_Plan,83281212,
Nevada,Nevada_Test_and_Training_Range_RMP,Nellis_Air_Force_Range_Resource_Management_Plan_(1,RMP_Resource_Management_Plan,09896083,
Nevada,Nevada_Test_and_Training_Range_RMP,Proposed_Nevada_Test_and_Training_Range_Resource_M,RMP_Resource_Management_Plan,54449311,
Nevada,Nevada_Test_and_Training_Range_RMP,Record_of_Decision_for_the_Approved_Nevada_Test_an,RMP_Resource_Management_Plan,53118822,
Nevada,Red_Rock_Canyon_NCA_RMP,Proposed_General_Management_Plan_and_Final_Environ,RMP_Resource_Management_Plan,78209323,
Nevada,Red_Rock_Canyon_NCA_RMP,Red_Rock_Canyon_NCA_Resource_Management_Plan_and_R,RMP_Resource_Management_Plan,64909313,
Nevada,Shoshone-Eureka_RMP,2011_Battle_Mountain_District_Visual_Resource_Inve,RMP_Resource_Management_Plan,50815920,
Nevada,Shoshone-Eureka_RMP,Unknown,RMP_Resource_Management_Plan,92540541,
Nevada,Sloan_Canyon_NCA_RMP,1._Plan_Maintenance_Action_to_the_Sloan_Canyon_NCA,RMP_Resource_Management_Plan,87263525,
Nevada,Sloan_Canyon_NCA_RMP,2._Sloan_Canyon_NCA_Proposed_RMP_and_Final_EIS_(20,RMP_Resource_Management_Plan,13035976,
Nevada,Sloan_Canyon_NCA_RMP,3._Sloan_Canyon_NCA_ROD_for_the_ARMP_FEIS_and_Appr,RMP_Resource_Management_Plan,53830029,
Nevada,Tonopah_RMP,2011_Battle_Mountain_District_Visual_Resources_Inv,RMP_Resource_Management_Plan,39611902,
Nevada,Tonopah_RMP,Unknown,RMP_Resource_Management_Plan,10393130,
Nevada,Wells_RMP,2012_Elko_District_Visual_Resource_Inventory_Repor,RMP_Visual_Resource_Inventory,41163791,
Nevada,Wells_RMP,Amendments_to_the_Wells_RMP_and_Elko_RMP,RMP_Amendment,10458377,
